Month,"Monthly milk production: pounds per cow. Jan 62 ? Dec 75, adjusted for month length"
1962-01,578.3
1962-02,609.8
1962-03,628.4
1962-04,665.6
1962-05,713.8
1962-06,707.2
1962-07,628.4
1962-08,588.1
1962-09,576.3
1962-10,566.5
1962-11,561.1
1962-12,571.4
1963-01,589.1
1963-02,615.3
1963-03,641.2
1963-04,682.8
1963-05,728.5
1963-06,726.4
1963-07,648
1963-08,605.8
1963-09,591.5
1963-10,576.3
1963-11,573.2
1963-12,587.1
1964-01,616.6
1964-02,648.6
1964-03,675.5
1964-04,715.3
1964-05,756
1964-06,746.7
1964-07,665.7
1964-08,627.4
1964-09,612.8
1964-10,599.9
1964-11,602.7
1964-12,622.5
1965-01,646.1
1965-02,676.1
1965-03,696.1
1965-04,732.5
1965-05,767.8
1965-06,767
1965-07,689.3
1965-08,641.2
1965-09,624
1965-10,609.7
1965-11,610.8
1965-12,623.5
1966-01,664.7
1966-02,690.3
1966-03,722.6
1966-04,766
1966-05,796.3
1966-06,809.6
1966-07,721.7
1966-08,684.4
1966-09,670.6
1966-10,654.9
1966-11,654.4
1966-12,675.5
1967-01,700.1
1967-02,725.1
1967-03,748.2
1967-04,795.4
1967-05,821.8
1967-06,828.9
1967-07,753.1
1967-08,708.9
1967-09,690.9
1967-10,674.5
1967-11,669.6
1967-12,685.3
1968-01,704
1968-02,730.5
1968-03,760.9
1968-04,807.6
1968-05,842.4
1968-06,838
1968-07,768.8
1968-08,726.6
1968-09,711.2
1968-10,693.2
1968-11,686.9
1968-12,698.1
1969-01,720.7
1969-02,750.1
1969-03,770.8
1969-04,816.7
1969-05,855.2
1969-06,857.3
1969-07,786.5
1969-08,750.1
1969-09,735.6
1969-10,709.9
1969-11,700.1
1969-12,720.7
1970-01,736.4
1970-02,768.5
1970-03,792.4
1970-04,836
1970-05,869.9
1970-06,871.5
1970-07,804.1
1970-08,768.8
1970-09,750.8
1970-10,733.4
1970-11,721.4
1970-12,737.4
1971-01,789.4
1971-02,821.8
1971-03,844.4
1971-04,890.8
1971-05,924.9
1971-06,926.3
1971-07,853.2
1971-08,818.9
1971-09,801.5
1971-10,785.5
1971-11,774.1
1971-12,785.5
1972-01,811
1972-02,838.6
1972-03,873.9
1972-04,913.1
1972-05,943.6
1972-06,948.6
1972-07,877.8
1972-08,839.5
1972-09,820.8
1972-10,795.3
1972-11,777.2
1972-12,790.4
1973-01,806.1
1973-02,840.3
1973-03,867
1973-04,911.1
1973-05,939.6
1973-06,937.5
1973-07,865
1973-08,821.8
1973-09,795.4
1973-10,776.6
1973-11,771.1
1973-12,787.4
1974-01,813
1974-02,845.7
1974-03,872.9
1974-04,915.2
1974-05,951.4
1974-06,960.8
1974-07,891.5
1974-08,851.3
1974-09,826.9
1974-10,797.3
1974-11,784.3
1974-12,798.2
